id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
127,Half-Life 2: Episode Two,2007-10-09,4.45,90,5,"{Android,Linux,macOS,PC,""Xbox 360""}","{Action,Shooter,Puzzle}","{Steam,""Google Play""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,""Partial Controller Support"",Horror,FPS,Classic,stats,Zombies,Post-apocalyptic,""Captions available"",Aliens,Dystopian,""Commentary available"",Episodic,""Includes Source SDK"",""Silent Protagonist""}",Mature
128,BioShock 2,2010-02-08,4.07,88,3,"{""PlayStation 4"",""Xbox One"",""Nintendo Switch"",PC,macOS,""Xbox 360"",""PlayStation 3""}","{Action,Shooter}","{""App Store"",""Xbox Store"",Steam,""PlayStation Store"",""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",First-Person,Sci-fi,Horror,FPS,""Action RPG"",Dark,Dystopian,Steampunk,Linear,Underwater,Philisophical}",
129,Hollow Knight,2017-02-22,4.4,88,6,"{""PlayStation 4"",Linux,macOS,PC,""Nintendo Switch"",""Xbox One""}","{Action,Indie,Platformer}","{Steam,GOG,""Nintendo Store"",""Xbox Store"",""PlayStation Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Open World"",2D,Difficult,Exploration,Controller,""controller support"",Cute,""Side Scroller"",""Dark Fantasy"",""Multiple Endings"",Metroidvania,Hand-drawn,Gothic}",Everyone 10+
130,Little Nightmares,2017-04-26,4.04,81,3,"{""PlayStation 4"",PC,""Xbox One"",""Nintendo Switch""}","{Action,Platformer}","{""PlayStation Store"",Steam,GOG,""Xbox Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Third Person"",Horror,""Female Protagonist"",Stealth,Dark,""controller support"",""Survival Horror"",Short,achievements,Puzzle-Platformer,2.5D}",Teen
131,Hitman,2016-03-10,3.92,83,7,"{""PlayStation 4"",Linux,macOS,PC,""Xbox One""}","{Action,Shooter,Simulation}","{""PlayStation Store"",Steam,""Xbox Store"",""Epic Games""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",Sandbox,Stealth,Tactical,""Third-Person Shooter"",Nudity,Crime,Assassin,Episodic,Illuminati,Heist}",Adults Only
132,Dark Souls III,2016-04-10,4.4,89,29,"{""Xbox One"",""PlayStation 4"",PC}","{Action,RPG}","{""PlayStation Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,Co-op,""Story Rich"",""Open World"",cooperative,""Third Person"",Horror,Difficult,Exploration,""Action RPG"",PvP,""Character Customization"",""Replay Value"",""Dark Fantasy"",Lore-Rich}",Mature
133,"Mirror's Edge",2008-11-10,4.07,81,3,"{""Xbox 360"",""PlayStation 3"",PC}",{Action},"{""PlayStation Store"",Steam,GOG,""Xbox 360 Store""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",First-Person,Sci-fi,""Partial Controller Support"",Classic,""Female Protagonist"",Short,Colorful,Futuristic,Parkour,Dystopian,Stylized,""Time Attack"",european}",Teen
134,Hotline Miami,2012-10-21,4.38,85,5,"{Linux,""Nintendo Switch"",""Xbox One"",""PlayStation 4"",""PS Vita"",PC}","{Action,Shooter,Arcade,Indie}","{GOG,""PlayStation Store"",Steam,""Google Play""}","{Singleplayer,""Steam Achievements"",Atmospheric,steam-trading-cards,""Great Soundtrack"",2D,""Partial Controller Support"",Gore,Difficult,Violent,""Pixel Graphics"",Retro,""controller support"",Fast-Paced,Top-Down,overlay,Music,Surreal,""Top-Down Shooter"",1980s,Psychedelic}",
135,Half-Life,1998-11-07,4.38,96,3,"{Dreamcast,Linux,macOS,PC,""PlayStation 2""}","{Action,Shooter}",{Steam},"{Singleplayer,Multiplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,FPS,Funny,Difficult,Classic,Retro,Moddable,Aliens,""Valve Anti-Cheat enabled"",1990's,Linear,""Silent Protagonist"",""vr mod""}",Mature
136,Outlast,2013-09-02,3.73,80,3,"{Linux,macOS,""Nintendo Switch"",PC,""Xbox One"",""PlayStation 4""}","{Action,Indie}","{""Epic Games"",""PlayStation Store"",""Xbox Store"",GOG,Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,First-Person,Sci-fi,Horror,FPS,Gore,Difficult,Survival,Stealth,Dark,Nudity,""controller support"",""Survival Horror"",""Captions available"",""Walking Simulator"",Parkour,""3D Vision""}",Mature
1455,Forza Horizon 2,2014-09-29,4.21,86,2,"{""Xbox One"",""Xbox 360""}","{Racing,Arcade}","{""Xbox 360 Store"",""Xbox Store""}","{Singleplayer,Multiplayer,""Open World"",exclusive,""street racing""}",Everyone 10+
137,Deus Ex: Mankind Divided,2016-08-21,3.97,83,8,"{Linux,PC,""Xbox One"",macOS,""PlayStation 4""}","{Action,RPG}","{GOG,""PlayStation Store"",Steam,""Xbox Store""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",""Open World"",First-Person,""Third Person"",Sci-fi,FPS,Stealth,Futuristic,Cyberpunk,Dystopian,Illuminati,Conspiracy,Transhumanism}",Mature
138,Far Cry 3,2012-11-27,4.24,88,16,"{""Xbox One"",""Xbox 360"",""PlayStation 3"",PC,""PlayStation 4""}","{Action,Shooter}","{""Xbox Store"",""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,Multiplayer,Atmospheric,RPG,Co-op,""Story Rich"",""Open World"",cooperative,First-Person,""Partial Controller Support"",FPS,""Online Co-Op"",Sandbox,Survival,Stealth,Nudity,Colorful,Crafting,Hunting}",Mature
139,BioShock Remastered,2016-09-14,4.24,,4,"{""PlayStation 4"",""Nintendo Switch"",macOS,PC,""Xbox One""}",{Shooter},"{""Epic Games"",""PlayStation Store"",""Nintendo Store"",Steam,""App Store"",GOG}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",First-Person,Sci-fi,Horror,FPS,Classic,Dark,Dystopian,Remake,Steampunk,""Commentary available"",""Alternate History"",Underwater}",Mature
140,Half-Life 2: Deathmatch,2004-10-31,3.29,,1,"{Linux,macOS,PC}",{Action},{Steam},"{Multiplayer,Atmospheric,Co-op,cooperative,First-Person,Sci-fi,FPS,Funny,""Free to Play"",Physics,""Valve Anti-Cheat enabled"",Competitive,""Includes Source SDK""}",Mature
141,"Marvel's Spider-Man",2018-09-06,4.45,87,6,"{""PlayStation 4"",PC,""PlayStation 5""}",{Action},"{Steam,""PlayStation Store""}","{Singleplayer,Atmospheric,""Open World"",Exploration,Action-Adventure,exclusive,Cinematic,""Beat 'em up"",""true exclusive"",""3rd-Person Perspective"",""Comic Book"",Superhero,America,""new york""}",Teen
142,Spec Ops: The Line,2012-06-25,4.09,76,5,"{""Xbox 360"",""PlayStation 3"",""Xbox One"",PC}","{Action,Shooter}","{""Xbox Store"",""PlayStation Store"",Steam,""Xbox 360 Store"",GOG}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,""Great Soundtrack"",Co-op,""Story Rich"",""Third Person"",Horror,""Steam Leaderboards"",""Third-Person Shooter"",stats,Dark,""Cross-Platform Multiplayer"",War,Post-apocalyptic,Mature,Military,Psychological,""Based On A Novel"",Political,european}",Mature
143,Alan Wake,2010-05-13,4.1,83,5,"{""Xbox 360"",""Xbox One"",PC}","{Action,Shooter,Adventure}","{""Xbox Store"",GOG,Steam,""Xbox 360 Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",Horror,Survival,""Third-Person Shooter"",Dark,""controller support"",""Survival Horror"",Mystery,Cinematic,Episodic,Narration,Supernatural,Thriller,enviroment,psycholoical-horror}",Teen
144,Amnesia: The Dark Descent,2010-09-07,3.65,85,2,"{Linux,macOS,PC}","{Action,Adventure,Indie}","{""Epic Games"",Steam,GOG}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Horror,Exploration,Classic,Survival,Stealth,Dark,Moddable,""Survival Horror"",""Captions available"",""Commentary available"",Gothic,Lovecraftian}",Mature
145,Wolfenstein: The New Order,2014-05-18,4.18,81,12,"{""Xbox One"",PC,""Xbox 360"",""PlayStation 3"",""PlayStation 4""}","{Action,Shooter}","{GOG,""Xbox Store"",Steam,""PlayStation Store"",""Xbox 360 Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",Multiplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",First-Person,Sci-fi,""Partial Controller Support"",Horror,FPS,Gore,""Steam Leaderboards"",Stealth,War,Historical,Dystopian,Robots,""World War II"",""Alternate History""}",Mature
146,Saints Row: The Third,2011-11-14,3.95,84,14,"{Linux,PC,""Xbox One"",""Xbox 360"",""PlayStation 3""}","{Action,Adventure}","{""Xbox Store"",""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,Multiplayer,""Great Soundtrack"",RPG,Co-op,""Open World"",cooperative,""Third Person"",""Partial Controller Support"",""Online Co-Op"",Funny,Sandbox,""Female Protagonist"",Comedy,""Third-Person Shooter"",Zombies,""Character Customization"",Crime,Satire}",Mature
158,The Last Of Us Remastered,2014-07-28,4.69,95,16,"{""PlayStation 4""}","{Action,Adventure}","{""PlayStation Store""}","{Multiplayer,Atmospheric,Survival,Stealth,""Action RPG"",Action-Adventure,Zombies,exclusive,""3rd-Person Perspective""}",Mature
148,Company of Heroes 2,2013-06-24,3.09,80,4,"{Linux,macOS,PC}",{Strategy},"{""App Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",Co-op,cooperative,""Online Co-Op"",Tactical,stats,""Steam Workshop"",War,Historical,RTS,Military,""Base Building"",""World War II"",""Real-Time with Pause"",Real-Time,Tanks}",Mature
149,Dead Space (2008),2008-10-12,4.38,86,3,"{""PlayStation 3"",PC,""Xbox One"",""Xbox 360""}","{Action,Shooter}","{""PlayStation Store"",""Xbox Store"",Steam,GOG,""Xbox 360 Store""}","{Singleplayer,""Full controller support"",Atmospheric,RPG,""Story Rich"",""Third Person"",Sci-fi,Horror,Gore,Survival,""Third-Person Shooter"",Dark,Space,Zombies,""controller support"",""Survival Horror"",Futuristic,Aliens,""Silent Protagonist""}",Mature
150,Hitman: Absolution,2012-11-18,3.74,79,7,"{""PlayStation 4"",PC,macOS,""Xbox 360"",""PlayStation 3""}","{Action,Shooter}","{""PlayStation Store"",Steam,""Xbox 360 Store"",GOG}","{Singleplayer,Multiplayer,Atmospheric,""Story Rich"",""Third Person"",""Partial Controller Support"",Difficult,Stealth,Controller,Tactical,""Third-Person Shooter"",""Replay Value"",Cinematic,Crime,Linear,Assassin,""Score Attack""}",Mature
151,Half-Life Deathmatch: Source,2006-04-30,3.22,,1,"{macOS,Linux,PC}",{Action},{Steam},"{Multiplayer,First-Person,Sci-fi,Horror,FPS,Classic,""Valve Anti-Cheat enabled""}",Mature
152,Mass Effect 2,2010-01-25,4.48,94,22,"{PC,""Xbox One"",""PlayStation 3"",""Xbox 360""}","{Action,RPG}","{""Xbox Store"",""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",""Third Person"",Sci-fi,Classic,""Female Protagonist"",""Action RPG"",""Third-Person Shooter"",Space,""Character Customization"",""Choices Matter"",Cinematic,""Real-Time with Pause"",Romance}",Mature
153,Control,2019-08-26,4.16,84,6,"{""Xbox Series S/X"",""PlayStation 5"",""Xbox One"",""PlayStation 4"",PC}","{Action,Shooter,Adventure}","{""PlayStation Store"",GOG,Steam,""Xbox Store"",""Epic Games""}","{Singleplayer,""Full controller support"",Atmospheric,""Third Person"",Sci-fi,Exploration,""Female Protagonist"",Action-Adventure,Cinematic,Metroidvania,""3rd-Person Perspective"",Detective,Supernatural,Abstract,realism,paranormal}",Mature
154,"Don't Starve Together",2016-04-20,3.78,83,7,"{Linux,""Xbox One"",""PlayStation 4"",macOS,PC}","{Action,Simulation,Indie}",{Steam},"{Singleplayer,Multiplayer,""Full controller support"",Atmospheric,steam-trading-cards,Co-op,""Open World"",cooperative,2D,Horror,""Online Co-Op"",Funny,Difficult,Sandbox,Survival,""Local Co-Op"",""Steam Workshop"",""Cross-Platform Multiplayer"",""Survival Horror"",Crafting,Roguelike}",
155,Star Wars Jedi: Fallen Order,2019-11-14,4.14,80,8,"{""PlayStation 4"",PC,""PlayStation 5"",""Xbox One""}","{Action,Adventure}","{""Epic Games"",Steam,""PlayStation Store"",""Xbox Store""}","{Singleplayer,""Full controller support"",Atmospheric,""Story Rich"",""Third Person"",Sci-fi,Difficult,Exploration,Space,""Hack and Slash"",Metroidvania,""3rd-Person Perspective"",Heist,Souls-like,""Star Wars"",""ea play"",cinema,lightsaber,Singe-player}",Teen
156,Death Stranding,2019-11-07,4.33,84,10,"{PC,""PlayStation 4""}","{Action,Adventure}","{""Xbox Store"",""PlayStation Store"",""Epic Games"",Steam}","{Singleplayer,Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",Sci-fi,""Partial Controller Support"",Horror,Exploration,Survival,Stealth,Action-Adventure,Nudity,Post-apocalyptic,Cinematic,Aliens,Memes,""Walking Simulator"",""3rd-Person Perspective"",Drama,Heist,Masterpiece}",Mature
157,Counter-Strike: Source,2004-10-31,3.75,88,7,"{Linux,macOS,PC}",{Shooter},{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Atmospheric,First-Person,FPS,Difficult,Sandbox,Survival,Tactical,stats,PvP,""Cross-Platform Multiplayer"",Moddable,War,Team-Based,""Valve Anti-Cheat enabled"",Military,Competitive,""Includes Source SDK"",e-sports}",Mature
159,Just Cause 3,2015-11-29,3.39,74,7,"{""Xbox One"",""PlayStation 4"",PC}","{Action,Shooter}","{""PlayStation Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,Co-op,""Open World"",cooperative,""Third Person"",Funny,Exploration,Sandbox,Comedy,""Third-Person Shooter"",Moddable,Physics,Parkour,Destruction}",Mature
160,Borderlands: The Pre-Sequel,2014-10-12,3.55,75,6,"{Linux,macOS,PC,""PlayStation 3"",""Xbox 360"",Android}","{Action,Shooter,RPG}","{Steam,""Xbox 360 Store"",""PlayStation Store"",""Google Play"",""App Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,RPG,Co-op,""Open World"",cooperative,First-Person,Sci-fi,FPS,""Online Co-Op"",Funny,""Female Protagonist"",Comedy,""Action RPG"",Space,Memes,Loot}",
161,Metal Gear Solid V: Ground Zeroes,2014-03-17,3.9,80,3,"{""Xbox 360"",PC,""PlayStation 3"",""PlayStation 4"",""Xbox One""}","{Action,Shooter}","{""PlayStation Store"",""App Store"",""Xbox Store"",Steam,""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",""Steam Leaderboards"",Classic,Sandbox,Comedy,Stealth,Tactical,""Third-Person Shooter"",Dark,""Replay Value"",Short,Cinematic,""Cold War""}",
162,Mass Effect,2007-11-15,4.39,89,9,"{""Xbox One"",""Xbox 360"",""PlayStation 3"",PC}","{Action,RPG}","{""Xbox Store"",""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",""Open World"",""Third Person"",Sci-fi,""Female Protagonist"",""Action RPG"",""Third-Person Shooter"",Space,""Character Customization"",""Choices Matter"",""Dark Fantasy"",""Real-Time with Pause"",Romance}",Mature
163,Metro: Last Light Redux,2014-08-24,4.13,76,6,"{""Nintendo Switch"",PC,Linux,""Xbox One"",""PlayStation 4"",macOS}","{Action,Shooter}","{""Nintendo Store"",""PlayStation Store"",Steam,GOG,""Xbox Store"",""App Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Story Rich"",""Open World"",First-Person,Sci-fi,Horror,FPS,Difficult,Survival,Stealth,Nudity,Post-apocalyptic,""Survival Horror"",overlay,Remake,""Based On A Novel""}",
164,Mortal Kombat X,2015-04-06,3.85,76,7,"{PC,""Xbox One"",""PlayStation 4""}","{Action,Fighting}","{""App Store"",""PlayStation Store"",""Xbox Store"",Steam,""Google Play""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Third Person"",Horror,""Online Co-Op"",Fantasy,Gore,""Steam Leaderboards"",""Female Protagonist"",Violent,""Local Multiplayer"",Mature,Competitive,Blood,2.5D,""2D Fighter""}",Mature
165,Counter-Strike,2000-10-31,4.04,88,3,"{macOS,PC,Linux,Xbox}","{Action,Shooter}",{Steam},"{Multiplayer,First-Person,FPS,Classic,Survival,Tactical,PvP,Team-Based,""Valve Anti-Cheat enabled"",Military,Competitive,1990's,Assassin,1980s,Ninja,e-sports,""Score Attack""}",
166,Left 4 Dead,2008-11-16,4.1,89,5,"{PC,""Xbox 360"",macOS}","{Action,Shooter}","{Steam,""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,Co-op,cooperative,First-Person,Horror,FPS,""Online Co-Op"",""Steam Leaderboards"",""Female Protagonist"",Survival,Tactical,stats,Zombies,Moddable,Post-apocalyptic,""Captions available"",""Replay Value"",Team-Based,""Valve Anti-Cheat enabled"",Competitive,""Commentary available"",""Includes Source SDK""}",Mature
167,Metro 2033 Redux,2014-08-24,4.1,88,6,"{""PlayStation 4"",""Xbox One"",""Nintendo Switch"",PC,macOS,Linux}","{Action,Shooter}","{""Epic Games"",""Nintendo Store"",""PlayStation Store"",""Xbox Store"",Steam,GOG,""App Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Story Rich"",""Open World"",First-Person,Horror,FPS,Gore,Classic,Survival,Stealth,Dark,Post-apocalyptic,""Survival Horror"",Mature,overlay,Remake,online,city,""Based On A Novel"",fire,light}",Mature
168,Bloodborne,2015-03-23,4.41,92,12,"{""PlayStation 4""}","{Action,RPG}","{""PlayStation Store""}","{Atmospheric,""Story Rich"",""Third Person"",Exploration,exclusive,""Character Customization"",""Dark Fantasy"",""true exclusive""}",Mature
250,Warhammer: Vermintide 2,2018-03-07,3.62,82,7,"{""Xbox One"",PC,""PlayStation 4""}","{Action,Indie}","{""PlayStation Store"",Steam,""Xbox Store""}","{Co-op,cooperative,""Online Co-Op"",Gore,Violent,""Games Workshop""}",Mature
169,Bastion,2011-07-19,4.15,86,4,"{""PlayStation 4"",""PS Vita"",""Xbox One"",PC,iOS,Linux,""Nintendo Switch"",""Xbox 360"",macOS}","{Action,Adventure,RPG,Indie}","{itch.io,""Xbox Store"",Steam,GOG,""Nintendo Store"",""PlayStation Store"",""Xbox 360 Store"",""App Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,""Story Rich"",2D,Fantasy,""Steam Leaderboards"",""Action RPG"",Controller,role-playing,""Hack and Slash"",Post-apocalyptic,""controller support"",Short,Colorful,Isometric,Music,Hand-drawn,Narration,""Twin Stick Shooter"",""Dynamic Narration"",Narrative}",
170,Just Cause 2,2010-03-22,3.61,84,3,"{""Xbox 360"",""PlayStation 3"",""Xbox One"",PC}","{Action,Shooter}","{""PlayStation Store"",""Xbox Store"",Steam,""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,Co-op,""Open World"",cooperative,""Third Person"",FPS,Funny,Exploration,Sandbox,Comedy,""Third-Person Shooter"",Moddable,Physics,""3D Vision"",Destruction}",Mature
171,BioShock 2 Remastered,2016-09-14,4.01,83,4,"{""PlayStation 4"",macOS,PC,""Xbox One"",""Nintendo Switch""}","{Action,RPG}","{""Epic Games"",""PlayStation Store"",""Nintendo Store"",Steam,GOG}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,RPG,""Story Rich"",First-Person,Sci-fi,Horror,FPS,Dystopian,Steampunk}",Mature
172,NieR:Automata,2017-03-16,4.37,86,14,"{""PlayStation 4"",""Nintendo Switch"",PC,""Xbox One""}","{Action,RPG}","{Steam,""Xbox Store""}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,""Story Rich"",""Open World"",Sci-fi,""Partial Controller Support"",""Female Protagonist"",Violent,Anime,Nudity,""Hack and Slash"",Post-apocalyptic,Robots,JRPG,""Bullet Hell"",""Character Action Game"",""Spectacle fighter""}",Mature
173,Fall Guys: Ultimate Knockout,2020-08-03,3.74,80,6,"{""Xbox One"",""PlayStation 4"",PC,""Nintendo Switch"",""Xbox Series S/X""}","{Action,Sports,Casual,""Massively Multiplayer"",Indie}","{""Xbox Store"",""Epic Games"",""PlayStation Store"",Steam,""Nintendo Store""}","{""Steam Achievements"",""Full controller support"",""Online multiplayer"",""Cross-Platform Multiplayer""}",Everyone
174,Mad Max,2015-08-30,3.77,73,11,"{""Xbox One"",""PlayStation 4"",""Xbox 360"",Linux,macOS,PC}","{Action,Adventure}","{""PlayStation Store"",""Xbox Store"",Steam,""Xbox 360 Store"",""App Store"",GOG}","{Singleplayer,Multiplayer,""Full controller support"",Atmospheric,RPG,""Open World"",First-Person,""Third Person"",Exploration,Sandbox,Survival,""Third-Person Shooter"",War,Post-apocalyptic,Driving,movie-based}",Mature
175,Minecraft,2009-05-09,4.42,83,26,"{Android,""PS Vita"",""PlayStation 4"",""PlayStation 3"",""Xbox 360"",""Nintendo 3DS"",""Nintendo Switch"",macOS,PC,iOS,""Wii U"",""Xbox One"",Linux}","{Action,Simulation,Arcade,""Massively Multiplayer"",Indie}","{""Nintendo Store"",""App Store"",""PlayStation Store"",""Google Play"",""Xbox Store""}","{Multiplayer,Sandbox,Crafting,3D,Building,""vr mod"",open-world,cube,modding,procedural-generation}",Everyone 10+
176,Journey,2012-03-12,4.32,92,2,"{PC,iOS,""PlayStation 4"",""PlayStation 3""}","{Adventure,Family,Indie}","{""App Store"",Steam,""PlayStation Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",Co-op,""Story Rich"",cooperative,""Online Co-Op"",Exploration,Classic,""Family Friendly"",Mystery,3D,""3rd-Person Perspective"",Music,Stylized,Masterpiece,Beautiful,calm,peaceful}",
177,Monster Hunter: World,2018-01-25,4.01,89,15,"{""PlayStation 4"",""Xbox One"",PC}","{Action,Adventure,RPG}","{Steam,""PlayStation Store"",""Xbox Store""}","{Singleplayer,Multiplayer,Atmospheric,""Great Soundtrack"",RPG,Co-op,""Open World"",cooperative,""Third Person"",""Partial Controller Support"",""Online Co-Op"",Fantasy,Difficult,Exploration,""Action RPG"",Action-Adventure,stats,""Hack and Slash"",""Character Customization"",""Replay Value"",""3rd-Person Perspective"",JRPG,Souls-like,Hunting,Dinosaurs,Monsters,atmosphere}",Teen
178,Resident Evil 7: Biohazard,2017-01-22,4.33,85,10,"{""PlayStation 4"",PC,""Xbox One"",""Nintendo Switch""}","{Action,Shooter,Adventure}","{""PlayStation Store"",""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Story Rich"",First-Person,Horror,FPS,Gore,Exploration,Classic,Survival,Violent,Action-Adventure,Zombies,""Survival Horror"",Cinematic,Memes,VR,Detective,America}",Mature
1947,EarthBound,1994-08-26,4.35,,33,{SNES},{RPG},{},{role-playing},Teen
179,XCOM: Enemy Unknown,2012-10-08,4.2,89,13,"{PC,Android,iOS,""Xbox 360"",""PlayStation 3"",macOS}",{Strategy},"{""PlayStation Store"",Steam,""Xbox 360 Store"",""Google Play""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,Sci-fi,Difficult,Tactical,""Cross-Platform Multiplayer"",Turn-Based,""Character Customization"",""Replay Value"",Futuristic,Isometric,Aliens,""Turn-Based Strategy"",""Base Building"",""Turn-Based Tactics"",""Perma Death""}",
180,Hades,2020-09-16,4.45,93,9,"{""PlayStation 5"",""Xbox Series S/X"",""PlayStation 4"",""Nintendo Switch"",PC,""Xbox One""}","{Action,Adventure,RPG,Indie}","{Steam,""Nintendo Store"",""Epic Games"",""PlayStation Store"",""Xbox Store""}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",2D,Fantasy,""Action RPG"",Action-Adventure,""Early Access"",""Hack and Slash"",""Replay Value"",Roguelike,Isometric,Roguelite,""Dungeon Crawler"",Hand-drawn,""Perma Death"",dungeons}",Teen
181,Brothers: A Tale of Two Sons,2013-08-06,4.19,90,3,"{""PlayStation 3"",""Xbox One"",iOS,""Nintendo Switch"",""Xbox 360"",""PlayStation 4"",Android,PC}","{Action,Adventure,Indie}","{""PlayStation Store"",Steam,GOG,""Xbox 360 Store"",""Xbox Store"",""App Store"",""Google Play"",""Nintendo Store"",""Epic Games""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",""Story Rich"",2D,""Third Person"",Fantasy,Survival,""Local Co-Op"",Controller,""controller support"",Short,Colorful,""Turn-Based Strategy"",""Walking Simulator"",Top-Down,""3D Vision"",Linear,Drama,Stylized,Hand-drawn,""Turn-Based Tactics"",Lore-Rich,""Puzzle Platformer"",""Grid-Based Movement"",solitaire,Faith,Foreign,Sokoban}",Teen
182,Titanfall 2,2016-10-27,4.31,87,5,"{""Xbox One"",""PlayStation 4"",PC}","{Action,Shooter}","{Steam,""PlayStation Store"",""Xbox Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Atmospheric,First-Person,Sci-fi,FPS,Gore,Exploration,Violent,Action-Adventure,PvP,Cinematic,Futuristic,Team-Based,Fast-Paced,RTS,combat,Military,Parkour,""Online PvP"",""Steam Trading Cards"",Robots,""Time Travel"",Mechs,""Hero Shooter"",grappling-hook}",Mature
183,Brutal Legend,2009-10-11,3.65,80,5,"{""Xbox 360"",""PlayStation 3"",""Xbox One"",iOS,PC,Linux,macOS}","{Action,Strategy}","{""Xbox Store"",""PlayStation Store"",GOG,Steam,""Xbox 360 Store"",itch.io,""App Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,""Open World"",""Third Person"",Fantasy,Funny,Comedy,""Action RPG"",Action-Adventure,""Hack and Slash"",""controller support"",RTS,""Beat 'em up"",Music,Gothic,""Real time strategy""}",
